// This code enables the following items to be dropped / selled and etc.


{
	Id: 1632
	AegisName: "BF_Staff1"
	Name: "Warlock's Magic Wand"
	Type: 4
	Buy: 20
	Atk: 70
	Matk: 125
	Range: 1
	Job: 0x00818314
	Loc: 2
	WeaponLv: 3
	EquipLv: 80
	View: 10
	Script: <"
		bonus bInt,4;
		bonus bDex,3;
		bonus2 bIgnoreMdefRate,RC_DemiPlayer,25;
		bonus3 bAddEff,Eff_Stun,500,ATF_SKILL;
		bonus bUnbreakableWeapon,0;
	">
},
{
	Id: 1633
	AegisName: "BF_Staff2"
	Name: "Warlock's Battle Wand"
	Type: 4
	Buy: 20
	Atk: 70
	Matk: 125
	Range: 1
	Job: 0x00818314
	Loc: 2
	WeaponLv: 3
	EquipLv: 80
	View: 10
	Script: <"
		bonus bInt,3;
		bonus bDex,3;
		bonus2 bMagicAddRace,RC_DemiPlayer,15;
		bonus3 bAddEff,Eff_Stun,500,ATF_SKILL;
		bonus bUnbreakableWeapon,0;
	">
},

{
	Id: 13037
	AegisName: "BF_Dagger2"
	Name: "Valorous Assassin's Damascus"
	Type: 4
	Buy: 20
	Atk: 120
	Range: 1
	Job: 0xFE9F7EEF
	Loc: 2
	WeaponLv: 3
	EquipLv: 80
	View: 1
	Script: <"
		bonus bStr,1;
		bonus bAgi,1;
		bonus2 bAddRace,RC_DemiPlayer,75;
		bonus bUnbreakableWeapon,0;
		autobonus "{ bonus bDefRatioAtkRace, RC_All; }",10,6000,BF_WEAPON,"{ specialeffect2 EF_HASTEUP; }";
		if(Class==Job_Ninja||Class==Job_Rogue||Class==Job_Stalker) bonus bMatkRate,15;
	">
},


{
	Id: 1184
	AegisName: "BF_Two_Handed_Sword2"
	Name: "Valorous Assaulter's Katzbalger"
	Type: 4
	Buy: 20
	Atk: 200
	Range: 1
	Job: 0x00004082
	Loc: 34
	WeaponLv: 3
	EquipLv: 80
	View: 3
	Script: <"
		bonus bCritical,20;
		bonus2 bAddRace,RC_DemiPlayer,55;
		bonus bCritAtkRate,20;
		bonus bUnbreakableWeapon,0;
	">
},


{
	Id: 1738
	AegisName: "BF_Bow1"
	Name: "Valorous Battle CrossBow"
	Type: 4
	Buy: 0
	Atk: 100
	Range: 5
	Job: 0x000A0848
	Loc: 34
	WeaponLv: 3
	EquipLv: 80
	View: 11
	Script: <"
		bonus bDex,2;
		bonus2 bAddRace,RC_DemiPlayer,55;
		bonus2 bIgnoreDefRate,RC_DemiPlayer,20;
		bonus bUnbreakableWeapon,0;
	">
},

{
	Id: 1823
	AegisName: "BF_Knuckle1"
	Name: "Valorous Battle Fist"
	Type: 4
	Buy: 20
	Atk: 30
	Range: 1
	Job: 0x00008100
	Loc: 2
	WeaponLv: 3
	EquipLv: 80
	View: 12
	Script: <"
		bonus bStr,2;
		bonus bAgi,1;
		bonus2 bAddRace,RC_DemiPlayer,95;
		bonus2 bIgnoreDefRate,RC_DemiPlayer,20;
		bonus4 bAutoSpell,CH_SOULCOLLECT,1,5,0;
		bonus bUnbreakableWeapon,0;
	">
},

{
	Id: 1977
	AegisName: "BF_Whip1"
	Name: "Valorous Battle Lariat"
	Type: 4
	Buy: 20
	Atk: 50
	Range: 2
	Job: 0x00080000
	Loc: 2
	WeaponLv: 3
	EquipLv: 80
	View: 14
	Script: <"
		bonus bDex,2;
		bonus2 bAddRace,RC_DemiPlayer,95;
		bonus2 bIgnoreDefRate,RC_DemiPlayer,20;
		bonus bUnbreakableWeapon,0;
	">
},


{
	Id: 1575
	AegisName: "BF_Book2"
	Name: "Valorous Battle Strategy Book"
	Type: 4
	Buy: 20
	Atk: 90
	Range: 1
	Job: 0x00410100
	Loc: 2
	WeaponLv: 3
	EquipLv: 80
	View: 15
	Script: <"
		bonus bStr,2;
		bonus bInt,1;
		bonus bMatkRate,15;
		bonus2 bIgnoreMdefRate,RC_DemiPlayer,25;
		bonus bUnbreakableWeapon,0;
	">
},


{
	Id: 1923
	AegisName: "BF_Instrument1"
	Name: "Valorous Battlefield Guitar"
	Type: 4
	Buy: 20
	Atk: 50
	Range: 1
	Job: 0x00080000
	Gender: 1
	Loc: 2
	WeaponLv: 3
	EquipLv: 80
	View: 13
	Script: <"
		bonus bDex,2;
		bonus2 bAddRace,RC_DemiPlayer,95;
		bonus2 bIgnoreDefRate,RC_DemiPlayer,20;
		bonus bUnbreakableWeapon,0;
	">
},


{
	Id: 1542
	AegisName: "BF_Morning_Star1"
	Name: "Valorous Battlefield Morning Star"
	Type: 4
	Buy: 20
	Atk: 105
	Range: 1
	Job: 0x0004C5B3
	Loc: 2
	WeaponLv: 3
	EquipLv: 80
	View: 8
	Script: <"
		bonus bStr,1;
		bonus bDex,1;
		bonus2 bAddRace,RC_DemiPlayer,75;
		bonus2 bIgnoreDefRate,RC_DemiPlayer,20;
		bonus bUnbreakableWeapon,0;
	">
},


{
	Id: 1280
	AegisName: "BF_Katar2"
	Name: "Valorous Carnage Katar"
	Type: 4
	Buy: 20
	Atk: 130
	Range: 1
	Job: 0x00001000
	Loc: 34
	WeaponLv: 3
	EquipLv: 80
	View: 16
	Script: <"
		bonus bStr,1;
		bonus bDex,1;
		bonus bLuk,1;
		bonus2 bAddRace,RC_DemiPlayer,70;
		bonus bCritAtkRate,20;
		bonus bAspdRate,5;
		bonus bUnbreakableWeapon,0;
	">
},


{
	Id: 13410
	AegisName: "BF_Sword1"
	Name: "Valorous Gladiator Blade"
	Type: 4
	Buy: 20
	Atk: 115
	Range: 1
	Job: 0x000654E3
	Loc: 2
	WeaponLv: 3
	EquipLv: 80
	View: 2
	Script: <"
		bonus bStr,1;
		bonus bDex,1;
		bonus2 bAddRace,RC_DemiPlayer,75;
		bonus2 bIgnoreDefRate,RC_DemiPlayer,20;
		bonus bUnbreakableWeapon,0;
	">
},


{
	Id: 13306
	AegisName: "BF_Huuma_Shuriken2"
	Name: "Valorous Huuma Front Shuriken"
	Type: 4
	Buy: 20
	Atk: 55
	Range: 1
	Job: 0x02000000
	Loc: 34
	WeaponLv: 3
	EquipLv: 80
	View: 22
	Script: <"
		bonus bStr,2;
		bonus bDex,1;
		bonus2 bAddRace,RC_DemiPlayer,95;
		autobonus "{ bonus2 bSkillAtk,NJ_HUUMA,100; bonus2 bSkillAtk,NJ_ISSEN,100; }",50,10000,BF_WEAPON,"{specialeffect2 EF_POTION_BERSERK; }";
		bonus bUnbreakableWeapon,0;
	">
},


{
	Id: 1379
	AegisName: "BF_Two_Handed_Axe1"
	Name: "Valorous Insane Battle Axe"
	Type: 4
	Buy: 20
	Atk: 200
	Range: 1
	Job: 0x000444A2
	Loc: 34
	WeaponLv: 3
	EquipLv: 80
	View: 7
	Script: <"
		bonus bStr,3;
		bonus2 bAddRace,RC_DemiPlayer,55;
		bonus2 bIgnoreDefRate,RC_DemiPlayer,20;
		bonus bUnbreakableWeapon,0;
	">
},


{
	Id: 13036
	AegisName: "BF_Dagger1"
	Name: "Brave Assassin's Damascus"
	Type: 4
	Buy: 20
	Atk: 120
	Range: 1
	Job: 0xFE9F7EEF
	Loc: 2
	WeaponLv: 3
	EquipLv: 80
	View: 1
	Script: <"
		bonus bStr,1;
		bonus bAgi,1;
		bonus2 bAddRace,RC_DemiPlayer,75;
		bonus2 bIgnoreDefRate,RC_DemiPlayer,20;
		bonus bUnbreakableWeapon,0;
